time,x0y0,x1y0,x2y0,x3y0,x4y0,x5y0,x0y1,x1y1,x2y1,x3y1,x4y1,x5y1,x0y2,x1y2,x2y2,x3y2,x4y2,x5y2,x0y3,x1y3,x2y3,x3y3,x4y3,x5y3
3.567,27,3,0,80,15,2,11,5,0,82,16,2,4,6,0,80,16,2,69,9,14,84,22,6
3.584,27,3,0,80,15,2,11,5,0,83,16,2,4,6,0,80,16,2,69,9,14,84,22,6
3.601,27,3,0,80,15,2,11,5,0,82,16,2,4,6,0,80,16,2,69,9,14,85,22,6
3.615,27,3,0,80,15,2,11,5,0,82,16,2,4,6,0,80,16,2,69,9,14,84,22,6
3.632,28,3,0,81,15,2,11,5,0,81,16,2,4,7,0,81,16,2,69,8,14,84,22,6
3.648,28,3,0,81,15,2,11,5,0,80,16,2,4,7,0,81,16,2,69,8,14,83,22,5
3.665,28,3,0,82,15,2,11,5,0,80,16,2,4,7,0,82,16,2,69,8,14,82,22,5
3.684,28,3,0,83,15,2,11,5,0,79,16,2,4,7,0,82,16,2,69,8,14,81,22,5
3.698,28,2,0,83,15,2,11,5,0,79,16,2,4,7,0,83,17,2,69,8,14,81,22,5
3.716,28,2,0,82,16,2,11,5,0,79,16,2,4,7,0,83,17,2,69,8,14,81,22,5
3.732,28,2,0,82,16,2,11,6,0,80,16,2,4,6,0,82,16,2,69,8,14,81,22,5
3.748,28,2,0,81,15,2,11,6,0,80,16,2,4,6,0,81,16,2,69,9,14,82,22,5
3.765,28,2,0,81,15,2,11,6,0,81,16,2,4,6,0,81,16,2,69,9,14,82,22,5
3.782,28,2,0,80,15,2,11,6,0,81,16,2,4,6,0,80,16,2,69,9,14,83,22,6
3.799,28,2,0,79,15,2,11,6,0,82,16,2,4,6,0,80,16,2,69,9,14,84,22,6
3.816,27,2,0,80,15,2,11,5,0,82,16,2,4,6,0,80,16,2,69,8,14,84,22,6
